Date,Close,High,Low,Open,Volume,MA20,MA50,MA200
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,
2020-01-01,2000.2017822265625,2015.2427939063161,1987.651985979598,2000.5708011159556,1354908,,,
2020-01-02,1991.0203857421875,2011.5982615929515,1983.2230016422675,2011.5982615929515,2380752,,,
2020-01-03,2030.699462890625,2051.3235209280992,1996.8799367019376,1996.8799367019376,4655761,,,
2020-01-06,2030.5152587890625,2054.0459639848546,2018.9344156844581,2034.7139198714572,3023209,,,
2020-01-07,2035.498291015625,2043.6185107085719,2015.1511075174587,2030.5613668576168,2429317,,,
2020-01-08,2081.08349609375,2085.4666671862874,2031.992024914598,2034.7141597990105,5197454,,,
2020-01-09,2043.342041015625,2078.038163144562,2039.3278892186947,2075.085335240063,3734173,,,
2020-01-10,2042.6033935546875,2061.474048719595,2037.4819604175764,2055.937412957591,1915807,,,
2020-01-13,2021.1954345703125,2047.5866007208815,2015.9816332281928,2046.5716858418145,2843893,,,
2020-01-14,2036.4666748046875,2057.5983016238506,2025.485771443035,2025.485771443035,2948452,,,
2020-01-15,2054.9228515625,2058.706310513034,2024.7482232204977,2042.0963985501319,2620681,,,
2020-01-16,2065.904296875,2075.316536688431,2043.9422537860717,2054.969346395948,3117214,,,
2020-01-17,2047.7252197265625,2079.514697771065,2042.096215506928,2067.7031608211246,3281059,,,
2020-01-20,2002.739990234375,2069.0410792078164,1989.6826202448349,2025.393881720912,5817599,,,
2020-01-21,2003.3861083984375,2017.6890880542667,1991.3900609451614,2002.370968114775,1902980,,,
2020-01-22,2036.4666748046875,2039.3273598583633,2005.830670836015,2012.5669555887287,1773686,,,
2020-01-23,2026.33984375,2051.12635552122,2019.6345496106567,2043.7736988314489,2069866,,,
2020-01-24,2019.3572998046875,2026.3401004352959,2006.9641552481291,2026.3401004352959,1319430,,,
2020-01-27,2006.270263671875,2028.652028068991,2002.339573977001,2025.183772455867,1549101,,,
2020-01-28,2019.68115234375,2023.42691412245,1990.316583786491,2010.6636864088437,1743024,2029.77099609375,,
2020-01-29,1992.72119140625,2022.640543359124,1988.4667072019101,2020.8370954586853,2306761,2029.3969665527343,,
2020-01-30,1977.2294921875,2002.3395724886982,1965.344845976205,1997.7152316746365,2098567,2028.707421875,,
2020-01-31,1922.8470458984375,1983.2409772792419,1915.956823793875,1978.662699599671,3287223,2023.3148010253906,,
2020-02-03,1944.5355224609375,2029.808331128179,1935.9342024576508,1990.3165014677468,4728073,2019.0158142089845,,
2020-02-04,1949.390869140625,1976.165757280357,1929.8299978266066,1969.0443175900323,3509339,2014.7104431152343,,
2020-02-05,1985.2760009765625,1994.6633234600533,1946.2003171428444,1956.0963623269488,2439322,2009.920068359375,,
2020-02-06,1968.4429931640625,2010.848057532851,1956.55834847108,1983.8419557884504,2640065,2006.175115966797,,
2020-02-07,1976.0269775390625,1989.3912763793394,1959.7954972793214,1978.2928592168328,2083442,2002.8462951660156,,
2020-02-10,1999.5184326171875,2004.1890614224378,1959.7953950872845,1980.049915033553,2383032,2001.7624450683593,,
2020-02-11,1991.611328125,2011.4036454346774,1986.2472725661764,2000.4901542187897,1335820,1999.519677734375,,
2020-02-12,2007.65771484375,2020.8370871512582,1988.466699027554,1989.4841444020335,1620407,1997.1564208984375,,
2020-02-13,2027.2646484375,2031.9352776444616,2007.888706311391,2009.6921540017947,1645948,1995.2244384765625,,
2020-02-14,2020.0972900390625,2045.8086738665909,2007.889073672861,2023.611834728798,1500115,1993.8430419921874,,
2020-02-17,2037.716064453125,2050.433003468775,2025.6464880823237,2031.8893490536427,1774724,1995.591845703125,,
2020-02-18,2049.277099609375,2054.132658572683,2021.808554062251,2034.664134141165,2486223,1997.8863952636718,,
2020-02-19,2031.33447265625,2062.456198971794,2025.923903070724,2049.2768263998887,1760463,1997.62978515625,,
2020-02-20,1994.7554931640625,2048.027758373889,1989.6224302298112,2038.871654824692,2317278,1996.0505676269531,,
2020-02-24,1956.419921875,2015.2414004492387,1948.4196769378057,1994.0157216698901,3092877,1992.9036987304687,,
2020-02-25,1994.15478515625,2013.1145861660343,1952.3970698368018,1956.5589773755348,2674567,1992.2979248046875,,
2020-02-26,1964.05029296875,2001.3223025577606,1954.2003106929521,1992.1661972627649,2686842,1989.5163818359374,,
2020-02-27,1947.3096923828125,1960.6739906356981,1929.4596937380873,1960.6739906356981,2349001,1987.2458068847657,,
2020-02-28,1849.875,1914.0145817919297,1840.4875659656632,1912.6272796065284,4298076,1980.8780822753906,,
2020-03-02,1850.938720703125,1899.632939716585,1836.5106868780067,1882.1067329891152,2667076,1977.282666015625,,
2020-03-03,1883.2166748046875,1905.2285841893702,1860.8349084412685,1868.2338543992853,2757585,1974.2167236328125,,
2020-03-04,1926.6854248046875,1937.090192247611,1872.8581397262114,1901.5290544578224,3237002,1973.0814514160156,,
2020-03-05,1965.3909912109375,1986.385451816105,1927.4713993010503,1928.9973413392495,3937056,1972.0872009277343,,
2020-03-06,1957.4375,1964.0965067079987,1915.957291553596,1940.3737247489007,2595027,1971.5369262695312,,
2020-03-09,1824.163818359375,1923.6333280748195,1789.6200127854008,1919.1015640980397,4940975,1963.9437683105468,,
2020-03-11,1806.9149169921875,1837.9905781401828,1775.7469045049863,1787.770190837572,6796449,1954.3135925292968,,
2020-03-12,1636.8778076171875,1765.018329864534,1626.241824315063,1760.948887586542,8728786,1936.5769165039062,1980.691162109375,
2020-03-13,1670.5894775390625,1683.2601267401083,1392.8978000370198,1561.0850599010148,8029720,1919.7235046386718,1974.098916015625,
2020-03-16,1568.9464111328125,1703.8384132939202,1549.9403247773096,1623.143664177408,7844271,1896.8075927734376,1965.6574365234376,
2020-03-17,1533.4312744140625,1600.9466441560567,1501.1996444526371,1600.0217760773992,5713248,1872.4742919921875,1955.7120727539063,
2020-03-18,1530.101806640625,1584.8077773147056,1505.454049205167,1550.818874652571,7258778,1847.0935791015625,1945.7038037109376,
2020-03-19,1524.4654541015625,1570.2082461049597,1440.9918271225938,1453.056332569698,5135111,1820.8529968261719,1935.4831469726562,
2020-03-20,1674.5504150390625,1741.2082732359415,1515.7548745611969,1518.549751404272,8547498,1803.0137939453125,1927.3524853515626,
2020-03-23,1555.5352783203125,1630.3448623508593,1507.1373720389158,1509.2335297190812,7003490,1781.052783203125,1917.5963500976563,
2020-03-24,1586.6982421875,1648.9773938958037,1521.2049137652689,1540.0238200541992,6350865,1762.56669921875,1908.4782470703126,
2020-03-25,1630.6241455078125,1686.2421419374384,1565.1308278756335,1583.7633377312957,2765520,1744.3901672363281,1900.6668212890625,
2020-03-26,1668.49462890625,1706.7845275949903,1604.7715362516599,1706.3652278894274,4556067,1729.6123840332032,1893.3073803710938,
2020-03-27,1699.7508544921875,1723.5073065555205,1630.7174224176206,1695.5585394221876,4331250,1717.234442138672,1886.2039404296875,
2020-03-30,1656.8961181640625,1774.7467557506545,1642.9683610297234,1645.2507982444388,8513547,1707.585498046875,1878.0237768554687,
2020-03-31,1701.241455078125,1728.1654571827728,1658.2935384287523,1711.7688696599278,3927593,1700.100634765625,1871.0941015625,
2020-04-01,1591.9151611328125,1709.2999806223427,1585.6266886601593,1701.0551172362948,4941878,1685.5355590820313,1862.8776049804687,
2020-04-03,1541.0950927734375,1621.0286184122654,1537.182310563355,1621.0286184122654,5735369,1666.2560424804688,1853.6317846679688,
2020-04-07,1653.82177734375,1663.7436130747571,1588.4217034310204,1593.0798315935747,5427577,1650.6775817871094,1845.97888671875,
2020-04-08,1588.8406982421875,1682.5156898059029,1584.6950101660248,1639.6609158684325,6285615,1632.2477416992188,1837.2289038085937,
2020-04-09,1645.3905029296875,1657.1755889897647,1612.8301214250241,1630.763913426587,5307397,1623.3090759277343,1829.7495678710939,
2020-04-13,1638.96240234375,1664.815013777622,1626.6183626500995,1640.5927472089493,2990438,1614.9114501953125,1822.4034106445313,
2020-04-15,1616.51025390625,1688.1056616803203,1609.6628281889027,1662.9517693705143,4761399,1613.8930725097657,1814.3399926757813,
2020-04-16,1598.71630859375,1644.2262007422785,1560.5196553567973,1593.0333009135713,6245533,1610.2994140625,1806.4598950195314,
2020-04-17,1682.7021484375,1725.3240205292739,1633.1397109700408,1676.9261150861798,9895823,1615.9872009277344,1800.5693481445312,
2020-04-20,1694.3009033203125,1704.8748310302979,1679.255127285307,1704.8748310302979,3244282,1624.0306823730468,1795.9984252929687,
2020-04-21,1618.8392333984375,1671.895265396736,1609.5694905196478,1644.3191706061239,5122541,1628.4675537109374,1789.4844995117187,
2020-04-22,1648.51171875,1667.6100460935293,1601.6043862876127,1618.8394621829927,3829836,1634.6698669433595,1783.4669165039063,
2020-04-23,1749.8255615234375,1770.0884157564387,1640.4527071945663,1658.2933579191902,5934366,1638.4336242675781,1778.7579077148437,
2020-04-24,1694.207763671875,1725.3239674261397,1684.19278857058,1714.8431795294355,2987102,1645.3672485351562,1773.273203125,
2020-04-27,1711.0238037109375,1746.7982547122124,1700.2169679198869,1707.0178812811043,3374741,1651.5835266113281,1767.9731396484376,
2020-04-28,1731.9384765625,1740.27647951605,1707.2969132087228,1737.4816029429512,2678505,1656.6492431640625,1762.6215405273438,
2020-04-29,1775.352294921875,1781.7805341166816,1723.553935837318,1745.8663228084401,4241510,1661.9921264648438,1758.2963598632812,
2020-04-30,1876.713134765625,1893.0632094509554,1809.4031855122632,1844.6186785004388,5915544,1670.8402404785156,1755.6774682617188,
2020-05-04,1798.4569091796875,1831.5762505528244,1782.805664591368,1831.5762505528244,3729348,1677.918280029297,1751.1013134765626,
2020-05-05,1800.5992431640625,1841.8236728678576,1795.2423963663941,1821.4210510154526,2905528,1682.8861694335938,1746.7113525390625,
2020-05-06,1773.442626953125,1820.117050914527,1764.1263701255461,1807.167544903263,3517431,1691.9625427246094,1741.4258837890625,
2020-05-07,1762.3099365234375,1802.1834518324501,1754.5773970290006,1779.4052469099754,3166754,1703.0232849121094,1735.6865405273438,
2020-05-08,1763.93994140625,1806.8878590070503,1757.2787955927035,1806.5151860206745,2686530,1708.5291931152344,1730.3386499023438,
2020-05-11,1802.9752197265625,1817.9743703942975,1778.4734189110138,1778.4734189110138,2449841,1719.2359191894532,1726.5030444335937,
2020-05-12,1816.2042236328125,1822.7256032508835,1779.6379164886278,1801.205073256016,3256595,1727.7766052246093,1723.69873046875,
2020-05-13,1816.34375,1857.6613197994207,1793.9847371237784,1857.6613197994207,2656665,1736.6456726074218,1720.142509765625,
2020-05-14,1772.278076171875,1791.6093088853718,1761.7972873513047,1779.4050353146304,2263146,1744.434063720703,1716.3070654296876,
2020-05-15,1763.4742431640625,1786.2990719454417,1737.6681440218342,1784.9947732703101,3173682,1752.6719604492187,1712.6303564453126,
2020-05-18,1812.5706787109375,1819.4181038772024,1744.0961996006404,1776.6099546032196,3727694,1759.1653869628906,1711.8842700195312,
2020-05-19,1815.4122314453125,1831.9950987381092,1772.8835004526934,1772.8835004526934,3198693,1765.2209533691407,1711.173740234375,
2020-05-20,1820.023681640625,1828.6878448875175,1799.6210590156186,1816.6698523502816,2778505,1775.28017578125,1709.9098803710938,
2020-05-21,1855.0531005859375,1861.3882010138605,1808.425301222274,1812.9436632497361,3400908,1785.607244873047,1708.4772338867188,
2020-05-22,1882.2098388671875,1893.0633003170199,1827.1507862926944,1841.9170299406564,3663418,1792.2264587402344,1706.8136108398437,
2020-05-26,1810.148681640625,1885.6103611120047,1793.3794195358741,1877.2257300596293,4575317,1798.023504638672,1703.8678344726563,
2020-05-27,1868.1888427734375,1872.56743756079,1808.5181781914844,1825.0545324286506,3482160,1805.8817565917968,1704.7483349609374,
2020-05-28,1867.25732421875,1876.2940474782429,1836.513677959176,1852.5375935503903,3475681,1812.6476989746093,1705.9551831054687,
2020-05-29,1837.4918212890625,1865.7201238699972,1828.222191595116,1846.4820315233349,7237735,1815.7546752929688,1709.9674633789064,
2020-06-01,1905.4071044921875,1919.1485809822302,1845.6433043347974,1853.9347942498243,3747773,1817.1893737792968,1714.6638159179688,
2020-06-02,1907.1773681640625,1938.7128719524983,1900.562849154449,1919.335013999434,2443886,1822.6253967285156,1721.4284350585938,
2020-06-03,1911.8492431640625,1928.2940295199976,1887.4155976404095,1917.1751872952493,3699799,1828.1878967285156,1728.9967944335938,
2020-06-04,1954.2694091796875,1962.16474072746,1912.409849087585,1912.409849087585,4048593,1837.2292358398438,1737.480146484375,
2020-06-05,1913.811279296875,1960.2958935505155,1906.3831302805957,1954.3160545211651,3573289,1844.8043029785156,1745.2670629882812,
